year_month,term,count
2023-01,gobierno,16906
2023-01,presidente,15025
2023-01,hace,11085
2023-01,momento,10615
2023-01,tres,10610
2023-01,primera,10597
2023-01,pasado,10470
2023-01,millones,10364
2023-01,vida,10354
2023-01,tiempo,10304
2023-01,ahora,10272
2023-01,hecho,10178
2023-01,hacer,10134
2023-01,mundo,10132
2023-01,trabajo,10114
2023-01,sido,10019
2023-01,lugar,9985
2023-01,gran,9704
2023-01,horas,9613
2023-01,acuerdo,9512
2023-02,incendios,13443
2023-02,vina,11569
2023-02,region,10946
2023-02,gobierno,10774
2023-02,momento,10546
2023-02,festival,10479
2023-02,hace,9327
2023-02,millones,8914
2023-02,publico,8901
2023-02,primera,8888
2023-02,tres,8749
2023-02,tiempo,8721
2023-02,pasado,8659
2023-02,gran,8626
2023-02,vida,8614
2023-02,caso,8551
2023-02,ahora,8448
2023-02,sido,8436
2023-02,hecho,8269
2023-02,hacer,8261
2023-03,gobierno,16418
2023-03,presidente,13495
2023-03,hace,11449
2023-03,momento,10997
2023-03,vida,10841
2023-03,trabajo,10635
2023-03,millones,10360
2023-03,horas,10308
2023-03,tiempo,10171
2023-03,tres,10147
2023-03,hacer,10118
2023-03,mujeres,10016
2023-03,primera,9993
2023-03,mundo,9956
2023-03,pasado,9859
2023-03,hecho,9834
2023-03,ahora,9789
2023-03,carabineros,9685
2023-03,caso,9615
2023-03,gran,9570
2023-04,gobierno,12373
2023-04,carabineros,10632
2023-04,horas,10301
2023-04,seguridad,10141
2023-04,hace,9958
2023-04,tres,9790
2023-04,presidente,9771
2023-04,vida,9422
2023-04,trabajo,9414
2023-04,momento,9230
2023-04,millones,9056
2023-04,tiempo,9045
2023-04,lugar,9034
2023-04,region,8924
2023-04,hecho,8844
2023-04,caso,8692
2023-04,hacer,8472
2023-04,gran,8378
2023-04,proyecto,8329
2023-04,ahora,8325
2023-05,gobierno,13934
2023-05,partido,11914
2023-05,vida,10744
2023-05,millones,10640
2023-05,hace,10614
2023-05,presidente,10461
2023-05,momento,10460
2023-05,tres,9898
2023-05,region,9799
2023-05,trabajo,9625
2023-05,horas,9514
2023-05,lugar,9399
2023-05,pasado,9361
2023-05,tiempo,9335
2023-05,hacer,9332
2023-05,primera,9244
2023-05,sido,9171
2023-05,ahora,9105
2023-05,salud,9090
2023-05,hecho,8999
2023-06,presidente,13210
2023-06,gobierno,11584
2023-06,region,10529
2023-06,hace,10322
2023-06,gran,10072
2023-06,salud,9949
2023-06,momento,9712
2023-06,caso,9711
2023-06,vida,9601
2023-06,horas,9302
2023-06,tres,9243
2023-06,millones,9242
2023-06,trabajo,8985
2023-06,lugar,8953
2023-06,ahora,8924
2023-06,hecho,8824
2023-06,tiempo,8742
2023-06,sido,8602
2023-06,hacer,8595
2023-06,medio,8538
2023-07,gobierno,11599
2023-07,gran,10480
2023-07,caso,9296
2023-07,presidente,9001
2023-07,millones,8952
2023-07,hace,8514
2023-07,momento,8416
2023-07,vida,7838
2023-07,hecho,7716
2023-07,region,7641
2023-07,acuerdo,7547
2023-07,sido,7529
2023-07,tiempo,7491
2023-07,tres,7410
2023-07,respecto,7373
2023-07,trabajo,7350
2023-07,ahora,7325
2023-07,lugar,7304
2023-07,hacer,6996
2023-07,medio,6944
2023-08,gobierno,12948
2023-08,gran,11639
2023-08,presidente,10975
2023-08,caso,9888
2023-08,millones,9323
2023-08,hace,8910
2023-08,region,8756
2023-08,momento,8716
2023-08,tiempo,8330
2023-08,ahora,8001
2023-08,vida,7968
2023-08,lugar,7658
2023-08,sido,7657
2023-08,hacer,7590
2023-08,tres,7584
2023-08,respecto,7409
2023-08,pasado,7408
2023-08,trabajo,7358
2023-08,hecho,7335
2023-08,partido,7327
2023-09,gran,10953
2023-09,gobierno,10123
2023-09,presidente,9960
2023-09,vida,8339
2023-09,hace,8187
2023-09,momento,7947
2023-09,lugar,7847
2023-09,caso,7703
2023-09,tiempo,7620
2023-09,region,7417
2023-09,horas,7390
2023-09,tres,7339
2023-09,partido,7283
2023-09,trabajo,7100
2023-09,ahora,6927
2023-09,sido,6915
2023-09,hecho,6893
2023-09,santiago,6833
2023-09,primera,6798
2023-09,hacer,6740
2023-10,santiago,14674
2023-10,gran,13883
2023-10,israel,12688
2023-10,gobierno,11479
2023-10,hace,10615
2023-10,tiempo,10576
2023-10,horas,10499
2023-10,momento,10449
2023-10,presidente,10440
2023-10,tres,10393
2023-10,lugar,10109
2023-10,primera,9742
2023-10,region,9493
2023-10,sido,9418
2023-10,mundo,9361
2023-10,vida,9358
2023-10,ahora,9262
2023-10,caso,8937
2023-10,salud,8841
2023-10,millones,8747
2023-11,gran,12869
2023-11,santiago,12642
2023-11,presidente,12197
2023-11,gobierno,12065
2023-11,caso,12026
2023-11,horas,10724
2023-11,hace,10638
2023-11,tiempo,10621
2023-11,momento,10162
2023-11,millones,10098
2023-11,ahora,9812
2023-11,tres,9685
2023-11,vida,9612
2023-11,region,9492
2023-11,lugar,9469
2023-11,sido,9236
2023-11,hacer,9230
2023-11,primera,9221
2023-11,mundo,9110
2023-11,hecho,8762
2023-12,gobierno,11615
2023-12,caso,11305
2023-12,gran,10849
2023-12,presidente,10685
2023-12,tiempo,10038
2023-12,hace,9840
2023-12,region,9735
2023-12,momento,9731
2023-12,horas,9500
2023-12,vida,9361
